id;name;description;avatar;avatar_content_type;uploaded
1;invoice;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-20T06:11:24
2;orchestrate Lead Decentralized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-19T16:24:34
3;productivity;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-19T18:11:13
4;azure benchmark;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-19T19:07:49
5;Intelligent Multi-channelled Frozen;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-19T22:07:05
6;Fresh Practical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-20T05:41:35
7;Iowa structure;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-19T23:25:21
8;IB Directives;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-20T06:20:35
9;Credit Card Account Supervisor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-20T09:40:59
10;quantify cultivate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-07-19T16:27:54
